Species,Rank,Factor_Score,Initial_Factor_Score,Pseudo_Revenue_Coastwide,Pseudo_Revenue_CA,Pseudo_Revenue_OR,Pseudo_Revenue_WA,Species_Importance_CA,Species_Importance_OR,Species_Importance_WA,Retained_Catch_Coastwide,Retained_Catch_CA,Retained_Catch_OR,Retained_Catch_WA
longnose skate,40,1.608606574,0.798449298,0.286371429,NA,0.286371429,NA,NA,0.5,NA,0.572742857,0,0.572742857,0
arrowtooth flounder,41,1.506692146,0.747862968,0.1990725,NA,0.1990725,NA,NA,0.5,NA,0.398145,0,0.398145,0
Dover sole,42,1.363701066,0.676887797,0.1144,0,0.1144,0,0.5,0.7,0.5,0.163428571,0,0.163428571,0
English sole,43,0.833512398,0.413722908,0.0074235,0,0.0074235,0,0.5,0.7,0.5,0.010605,0,0.010605,0
aurora rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
big skate,44,0,0,0,0,NA,0,0.5,NA,0.5,0.326056667,0,0.326056667,0
blackgill rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
curlfin sole,44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
darkblotched rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0.00441,0,0.00441,0
flathead sole,44,0,0,0,NA,0,0,NA,0.7,0.5,0,0,0,0
leopard shark,44,0,0,0,NA,NA,NA,NA,NA,NA,17.69494642,17.69494642,0,0
longspine thornyhead,44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
Pacific ocean perch,44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
redbanded rockfish,44,0,0,0,0,NA,NA,0.8,NA,NA,0.013123556,0,0.013123556,0
redstripe rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0.114082915,0,0.114082915,0
rex sole,44,0,0,0,0,0,0,0.5,0.7,0.5,0,0,0,0
rosethorn rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0.224329669,0,0.224329669,0
rosy rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,41.48116968,41.43658275,0.044586927,0
rougheye rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
sharpchin rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
shortraker rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
shortspine thornyhead,44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
silvergray rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0.620077751,0,0.620077751,0
splitnose rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
stripetail rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
yellowmouth rockfish,44,0,0,0,NA,NA,NA,NA,NA,NA,0.105066667,0,0.105066667,0
